observationUri,Timeliness,Relevance,Availability,Accuracy
http://dtp-24.sncs.abdn.ac.uk:8093/observation/905b2ea3-40b8-4dd2-ae72-dac36a05a176,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ca498f2e-a6b8-452b-b851-6d9fd12105f1,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/fb5356b0-2ae5-4b3e-bd7c-c450679b17cc,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/bcd4e82b-4da0-46db-b922-1e1955e4d1e9,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/40ff13dd-218b-424c-b4a3-5c95cb6949a9,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/84c9f091-f528-4c79-8fe2-f375c5830784,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e025fd71-0eba-440b-9775-9453405365ff,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/542961b0-928d-4c04-ae91-5f83dd2154cb,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/491bdcee-9189-448a-8191-99d65a37c6d9,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d132f872-b694-4765-821e-22845165bcbb,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/25bb42ec-110f-4d09-91d0-50ae214ad988,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9b22654f-21e1-4925-ab29-8b222017d181,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3a3cffa5-db61-4778-973b-a76f04896e92,0.0,0.80,0.0,0.0
